Unique Skills,course_title,course_url
3D lighting,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3D modelling,Foundations of 3D Modelling in Blender,https://www.coursera.org/learn/packt-foundations-of-3d-modelling-in-blender-ugmas
3d printing,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3gpp,Introduction to Networking,https://www.coursera.org/learn/introduction-to-networking-nvidia
5g technology,5G for Everyone,https://www.coursera.org/learn/5g-training-qualcomm
Active Learning,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Active Listening,Active Listening: Enhancing Communication Skills,https://www.coursera.org/learn/active-listening-enhancing-communication-skills
Agile development,Introduction to Agile Development and Scrum,https://www.coursera.org/learn/agile-development-and-scrum
Agile project management,Agile Project Management,https://www.coursera.org/learn/meem-agile-project-management
Analyzing Data or Information,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Behavior-Driven Development (BDD),Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
CAD software,AutoCAD 2023 Masterclass - Produce Amazing Site Plans,https://www.coursera.org/learn/packt-autocad-2023-masterclass-produce-amazing-site-plans-quickly-qsjyw
CADD software,AutoCAD 2023 Masterclass - Produce Amazing Site Plans,https://www.coursera.org/learn/packt-autocad-2023-masterclass-produce-amazing-site-plans-quickly-qsjyw
CSS,"Introduction to HTML, CSS, & JavaScript",https://www.coursera.org/learn/introduction-html-css-javascript
Cisco,Cybersecurity Operations Fundamentals,https://www.coursera.org/specializations/cbrops
Coaching and Developing Others,Coaching Skills for Managers,https://www.coursera.org/specializations/coaching-skills-manager
Complex Problem Solving,Effective Problem-Solving and Decision-Making,https://www.coursera.org/learn/problem-solving
Coordination,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Critical Thinking,Leadership and Critical Thinking,https://www.coursera.org/specializations/leadership-critical-thinking
Developing and Building Teams,Leading People and Teams,https://www.coursera.org/specializations/leading-teams
Earth science,Data Science Foundations,https://www.coursera.org/specializations/data-science-foundations
Equipment Maintenance,Construction Equipment Maintenance & Safety,https://www.coursera.org/learn/construction-equipment-maintenance--safety
Handling and Moving Objects,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
ICT network simulation,Deep Learning,https://www.coursera.org/specializations/deep-learning
ICT networking hardware,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking
ICT project management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ICT security standards,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Installation,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
Iterative development,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
JavaScript Framework,JavaScript for Beginners,https://www.coursera.org/specializations/javascript-beginner
Judgment and Decision Making,Effective Problem-Solving and Decision-Making,https://www.coursera.org/learn/problem-solving
Management of Financial Resources,Business and Financial Modeling,https://www.coursera.org/specializations/wharton-business-financial-modeling
Management of Personnel Resources,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
Mathematics,Mathematics for Engineers,https://www.coursera.org/specializations/mathematics-engineers
Microsoft Visio,Data and Business Process Modeling with Microsoft Visio,https://www.coursera.org/learn/data-and-business-process-modeling-with-microsoft-visio
Microsoft Visual C++,Coding for Everyone: C and C++,https://www.coursera.org/specializations/coding-for-everyone
Monitoring,Project - Monitoring and Control,https://www.coursera.org/learn/project---monitoring-and-control
Monitoring and Controlling Resources,Generative AI for Human Resources (HR) Professionals,https://www.coursera.org/specializations/generative-ai-for-human-resources
MySQL,Excel to MySQL: Analytic Techniques for Business,https://www.coursera.org/specializations/excel-mysql
Open source model,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
OpenEdge Database,Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer
Operation and Control,Construction Management,https://www.coursera.org/specializations/construction-management
Operations Analysis,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
Operations Monitoring,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
PHP,Web Applications for Everybody,https://www.coursera.org/specializations/web-applications
Performing Administrative Activities,Intuit Academy Bookkeeping,https://www.coursera.org/professional-certificates/intuit-bookkeeping
Persuasion,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://www.coursera.org/learn/negotiation
PostgreSQL,PostgreSQL for Everybody,https://www.coursera.org/specializations/postgresql-for-everybody
Prince2 project management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Process-based management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
Processing Information,Digital Signal Processing,https://www.coursera.org/specializations/digital-signal-processing
Python (computer programming),Python for Everybody,https://www.coursera.org/specializations/python
Quality Control Analysis,Quality Improvement and Management,https://www.coursera.org/learn/quality-improvement-and-management
Rapid application development,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Reading Comprehension,Chinese for Beginners,https://www.coursera.org/learn/learn-chinese
Repairing,"Modern Robotics: Mechanics, Planning, and Control",https://www.coursera.org/specializations/modernrobotics
SAP Data Services,SAP Technology Consultant,https://www.coursera.org/professional-certificates/sap-technology-consultant
SPARK,"NoSQL, Big Data, and Spark Foundations",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
Scheduling Work and Activities,Construction Scheduling,https://www.coursera.org/learn/construction-scheduling
Service Orientation,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
Speaking,Dynamic Public Speaking,https://www.coursera.org/specializations/public-speaking
