Unique Skills,course_title,course_url,
communication,Impactful Unscripted Communication – eCornell,https://ecornell.cornell.edu/courses/financial-management/impactful-unscripted-communication/,
social media,Social Media Marketing Certification – HubSpot Academy,https://academy.hubspot.com/courses/social-media,
write,Undergraduate Professional Communication Certificate – Harvard Extension School,https://coursebrowser.dce.harvard.edu/program/undergraduate-professional-communication-certificate/,
coach,Leadership Coaching Strategies – Harvard DCE,https://professional.dce.harvard.edu/communications-programs/,
troubleshoot,Google IT Support Professional Certificate – Coursera (includes troubleshooting),https://www.coursera.org/professional-certificates/google-it-support,
adoption,Change Management Certification – Prosci,https://www.prosci.com/change-management-certification,
analytic,Business Analytics Certificate – eCornell,https://ecornell.cornell.edu/certificates/data-science/business-analytics/,
analytical skill,Business Analytics Certificate – eCornell,https://ecornell.cornell.edu/certificates/data-science/business-analytics/,
reliability,Reliability Engineering Fundamentals – ASQ,https://asq.org/training/reliability-engineering-fundamentals,
forecast,Time Series Forecasting – Coursera,https://www.coursera.org/learn/time-series-forecasting,
quality control,Six Sigma Quality Management – eCornell,https://ecornell.cornell.edu/certificates/quality-and-six-sigma/six-sigma-quality-management/,
database,Databases and SQL for Data Science – Coursera,https://www.coursera.org/learn/sql-data-science,
advertise,Google Ads Search Certification – Google Skillshop,https://skillshop.exceedlms.com/student/path/18186-google-ads-search-certification,
data analytic,Data Analytics Professional Certificate – Google (Coursera),https://www.coursera.org/professional-certificates/google-data-analytics,
interface,UI/UX Design Specialization – Coursera,https://www.coursera.org/specializations/ui-ux-design,
management system,Operations Management Specialization – Coursera,https://www.coursera.org/specializations/operations-management,
account management,Customer Success & Account Management – LinkedIn Learning,https://www.linkedin.com/learning/topics/account-management,
presentation skill,Effective Presentation Skills – Harvard DCE,https://pll.harvard.edu/subject/communication-skills,
training and development,Training and Development Certificate – ATD,https://www.td.org/education-courses/creating-learning-programs,
san,Storage Area Networks (SAN) Fundamentals – Udemy,https://www.udemy.com/course/storage-area-networks-san-the-complete-guide/,
devop,DevOps Foundations – LinkedIn Learning,https://www.linkedin.com/learning/devops-foundations,
mathematic,Introduction to Mathematical Thinking – Coursera,https://www.coursera.org/learn/mathematical-thinking,
housekeep,Housekeeping Management – Alison,https://alison.com/course/housekeeping-management,
operating system,Operating Systems and You: Becoming a Power User – Coursera,https://www.coursera.org/learn/os-power-user,
workshop facilitation,Facilitation Skills: Conducting Great Meetings – LinkedIn Learning,https://www.linkedin.com/learning/facilitation-skills-conducting-great-meetings,
cybersecurity,IBM Cybersecurity Analyst Professional Certificate – Coursera,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,
life science,Introduction to the Biology of Cancer (Life Sciences) – Coursera,https://www.coursera.org/learn/biology-cancer,
statistic,Statistics with Python Specialization – Coursera,https://www.coursera.org/specializations/statistics-with-python,
dynamic,Dynamics 365 Fundamentals – Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/dynamics-365-fundamentals/,
technology solution,Designing Technology Solutions – LinkedIn Learning,https://www.linkedin.com/learning/topics/technology-solutions,
customer support,Customer Service Fundamentals – Coursera,https://www.coursera.org/learn/customer-service-fundamentals,
project plan,Project Planning and Management Specialization – Coursera,https://www.coursera.org/specializations/project-management,
solver,Problem Solving Using Computational Thinking – edX,https://www.edx.org/course/problem-solving-using-computational-thinking,
data collection,Methods of Data Collection – Coursera,https://www.coursera.org/learn/data-collection-methods,
investigation,Forensic Investigation and Digital Evidence – Udemy,https://www.udemy.com/course/computer-forensics-for-beginners/,
gaap,Financial Accounting: Foundations (GAAP Principles) – Coursera,https://www.coursera.org/learn/wharton-accounting,
customer requirement,Gathering Requirements and Creating User Stories – LinkedIn Learning,https://www.linkedin.com/learning/gathering-requirements-and-creating-user-stories,
debug,Debugging and Troubleshooting Code – Coursera,https://www.coursera.org/learn/debugging-troubleshooting-programs,
root cause,Root Cause Analysis: Getting to the Bottom of Problems – Udemy,https://www.udemy.com/course/root-cause-analysis/,
algorithm,Algorithms Specialization – Coursera,https://www.coursera.org/specializations/algorithms,
development,Full-Stack Web Development Specialization – Coursera,https://www.coursera.org/specializations/full-stack,
spreadsheet,Excel Skills for Business Specialization – Coursera,https://www.coursera.org/specializations/excel,
professional manner,Developing Executive Presence and Professionalism – LinkedIn Learning,https://www.linkedin.com/learning/developing-executive-presence-and-professionalism,
key performance indicator,Measuring KPIs and Performance Metrics – LinkedIn Learning,https://www.linkedin.com/learning/topics/key-performance-indicators,
business acuman,Business Acumen for Leaders – LinkedIn Learning,https://www.linkedin.com/learning/business-acumen-for-leaders,
utility,Utility Management Fundamentals – Energy Training Solutions,https://www.energyts.com/,
power bi,Microsoft Power BI Data Analyst Professional Certificate – Coursera,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,
software solution,Designing Software Solutions – LinkedIn Learning,https://www.linkedin.com/learning/designing-software-solutions,
instrumentation,Instrumentation and Process Control Certification – Udemy,https://www.udemy.com/course/instrumentation-and-process-control-training/,
programming language,Programming for Everybody (Python) – Coursera,https://www.coursera.org/learn/python,
remediation,Environmental Remediation Fundamentals – Udemy,https://www.udemy.com/course/environmental-remediation-training/,
subject matter expert,Becoming a Subject Matter Expert – LinkedIn Learning,https://www.linkedin.com/learning/becoming-a-subject-matter-expert,
bookkeepe,Bookkeeping Basics – Coursera,https://www.coursera.org/learn/bookkeeping,
fda,"FDA Regulations for Drugs, Devices, and Biologics – Coursera",https://www.coursera.org/learn/fda-regulations,
economic,Principles of Economics – edX,https://www.edx.org/course/principles-of-economics,
commerce,e-Commerce Essentials – Coursera,https://www.coursera.org/learn/e-commerce,
invest,Investment Management Specialization – Coursera,https://www.coursera.org/specializations/investment-management,
servicenow,ServiceNow Fundamentals – ServiceNow Training,https://www.servicenow.com/services/training-and-certification.html,
business strategy,Business Strategy Specialization – Coursera,https://www.coursera.org/specializations/wharton-business-strategy,
persistence,Resilience and Persistence Skills – LinkedIn Learning,https://www.linkedin.com/learning/developing-resilience,
food safety,Food Safety and Quality Management – Alison,https://alison.com/course/food-safety-and-quality-management,
resolution,Conflict Resolution Skills – Coursera,https://www.coursera.org/learn/conflict-resolution,
triage,Incident Management and Triage – Udemy,https://www.udemy.com/course/incident-management-and-triage-training/,
eap,Employee Assistance Program Training – Udemy,https://www.udemy.com/course/employee-assistance-program-training/,
marketing campaigns,Digital Marketing Campaigns – Coursera,https://www.coursera.org/learn/digital-marketing-campaigns,
navigation,Marine Navigation Basics – Udemy,https://www.udemy.com/course/marine-navigation-training/,
software system,Software Systems Architecture and Design – Coursera,https://www.coursera.org/learn/software-design-architecture,
support service,IT Support Professional Certificate – Google (Coursera),https://www.coursera.org/professional-certificates/google-it-support,
help people,Psychology First Aid (Helping People) – Coursera,https://www.coursera.org/learn/psychological-first-aid,
cloud service,AWS Cloud Practitioner Essentials – Coursera,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,
marketing strategy,Marketing Strategy Specialization – Coursera,https://www.coursera.org/specializations/marketing-strategy,
oncology,Introduction to Breast Cancer – Coursera,https://www.coursera.org/learn/introduction-breast-cancer,
product quality,Quality Management in Manufacturing – Coursera,https://www.coursera.org/learn/manufacturing-quality-management,
enterprise,Enterprise Architecture Foundations – LinkedIn Learning,https://www.linkedin.com/learning/enterprise-architecture-foundations,
financial statement,Introduction to Financial Accounting – Coursera,https://www.coursera.org/learn/wharton-accounting,
financial data,Financial Data Analysis – Coursera,https://www.coursera.org/learn/financial-data-analysis,
product line,Product Management: Building a Product Strategy – Coursera,https://www.coursera.org/learn/product-management,
technical requirement,Software Requirements Prioritization Techniques – Coursera,https://www.coursera.org/learn/software-requirements,
use case,Business Analysis & Use Case Development – Udemy,https://www.udemy.com/course/business-analysis-use-case-development/,
team build,Building High-Performing Teams – LinkedIn Learning,https://www.linkedin.com/learning/building-high-performing-teams,
strategic,Strategic Management – Copenhagen Business School (Coursera),https://www.coursera.org/learn/strategic-management,
event plan,Event Planning Foundations – LinkedIn Learning,https://www.linkedin.com/learning/event-planning-foundations,
unix,Linux/Unix for Beginners – Udemy,https://www.udemy.com/course/unix-linux-for-beginners/,
kubernete,Kubernetes for Beginners – Udemy,https://www.udemy.com/course/kubernetes-for-beginners/,
microservice,Microservices Architecture – Udemy,https://www.udemy.com/course/microservices-architecture-and-implementation-on-dotnet-core/,
git,Git Essentials: Learn Git and GitHub – Coursera,https://www.coursera.org/learn/introduction-git-github,
purchase order,Procurement & Purchase Order Process – Udemy,https://www.udemy.com/course/purchase-order-process/,
property management,Property Management Fundamentals – Udemy,https://www.udemy.com/course/property-management-training/,
web service,RESTful Web Services with Java – Udemy,https://www.udemy.com/course/restful-web-service-with-spring-boot-jpa-and-hibernate/,
independence,Self-Leadership and Personal Empowerment – LinkedIn Learning,https://www.linkedin.com/learning/self-leadership-and-personal-empowerment,
pos,POS (Point of Sale) System Training – Udemy,https://www.udemy.com/course/pos-training/,
multitaske,Productivity and Multitasking – LinkedIn Learning,https://www.linkedin.com/learning/productivity-tips-finding-your-productive-mindset,
graphic,Graphic Design Basics – Coursera,https://www.coursera.org/learn/graphic-design,
customer relation,Customer Relationship Management – Coursera,https://www.coursera.org/learn/crm-basics,
stream,Real-Time Data Streaming with Apache Kafka – Udemy,https://www.udemy.com/course/apache-kafka-for-beginners/,
sale management,Sales Management Specialization – Coursera,https://www.coursera.org/specializations/sales-management,
journal entries,Financial Accounting Fundamentals – Coursera,https://www.coursera.org/learn/wharton-accounting,
prototype,UX Design and Rapid Prototyping – Coursera,https://www.coursera.org/learn/ux-design,
pivot table,Excel: PivotTables for Beginners – LinkedIn Learning,https://www.linkedin.com/learning/excel-pivottables-for-beginners,
data structure,Data Structures and Algorithms Specialization – Coursera,https://www.coursera.org/specializations/data-structures-algorithms,
background check,Background Verification & Screening Techniques – Udemy,https://www.udemy.com/course/background-check-training/,
calibration,Instrument Calibration Training – Udemy,https://www.udemy.com/course/instrument-calibration-training/,
web application,Full Stack Web Application Development – Coursera,https://www.coursera.org/specializations/full-stack,
product knowledge,Product Management Fundamentals – Coursera,https://www.coursera.org/learn/product-management,
clarity,Business Communication for Clarity – LinkedIn Learning,https://www.linkedin.com/learning/communication-foundations,
sdlc,Software Development Life Cycle (SDLC) Fundamentals – Udemy,https://www.udemy.com/course/software-development-life-cycle-sdlc/,
preventive care,Preventive Health Care – Coursera,https://www.coursera.org/learn/preventive-health-care,
six sigma,Six Sigma Yellow Belt Specialization – Coursera,https://www.coursera.org/specializations/six-sigma-yellow-belt,
test case,Software Testing and Automation Specialization – Coursera,https://www.coursera.org/specializations/software-testing-automation,
internal customer,Internal Customer Service Training – Udemy,https://www.udemy.com/course/internal-customer-service-training/,
cpr,CPR Certification Online – American Red Cross,https://www.redcross.org/take-a-class/cpr,
measurement,Measurement and Data Analysis – Coursera,https://www.coursera.org/learn/measurement-and-data-analysis,
acceptance testing,Acceptance Testing Fundamentals – Udemy,https://www.udemy.com/course/software-testing-quality-assurance/,
brand,"Brand Management: Aligning Business, Brand and Behavior – Coursera",https://www.coursera.org/learn/brand-management,
public relation,Introduction to Public Relations – edX,https://www.edx.org/course/introduction-to-public-relations,
system engineering,Systems Engineering Specialization – Coursera,https://www.coursera.org/specializations/systems-engineering,
mac,macOS Support Essentials – Apple Training,https://training.apple.com/mac,
fundraise,Fundraising and Development Specialization – Coursera,https://www.coursera.org/specializations/fundraising-development,
seo,Search Engine Optimization (SEO) Specialization – Coursera,https://www.coursera.org/specializations/seo,
offshore,Offshore Oil & Gas Operations Basics – Udemy,https://www.udemy.com/course/offshore-oil-gas-training/,
jenkin,Jenkins for Beginners – Udemy,https://www.udemy.com/course/jenkins-for-beginners/,
conflict resolution,Conflict Resolution Skills – Coursera,https://www.coursera.org/learn/conflict-resolution,
new business opportunity,Business Opportunity Identification – Udemy,https://www.udemy.com/course/business-opportunity-identification/,
storytelle,Business Storytelling Skills – LinkedIn Learning,https://www.linkedin.com/learning/business-storytelling,
scope,Project Scope Management – Udemy,https://www.udemy.com/course/project-scope-management/,
demonstration,Presentation and Demonstration Skills – LinkedIn Learning,https://www.linkedin.com/learning/presentation-and-public-speaking-skills,
clinical trial,Clinical Trials Management and Advanced Operations – Coursera,https://www.coursera.org/learn/clinical-trials-management,
